,,Overall NHL Stats,,,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,
Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
362,Jaden Schwartz,SEA,29,F,37,8,15,23,14,-13,18:27,15:57,2:22,0:07,7,1,0,0,0,12,3,0,0,0,19,4,0,0,0,17.4%,0.703,1.318,2.021,0.712,1.22,1.931,0.684,2.053,2.737,0.216,0.405,0.622,101,7.9%,42,13,17,18,48.57%
363,Oscar Sundqvist,DET,27,F,59,8,15,23,29,5,13:59,11:40,0:32,1:47,8,0,0,1,0,15,0,0,2,0,23,0,0,3,0,0.0%,0.581,1.09,1.671,0.697,1.307,2.004,0,0,0,0.136,0.254,0.39,70,11.4%,70,29,75,107,41.21%
364,Noah Gregor,SJS,23,F,63,8,15,23,25,-21,14:56,13:23,1:13,0:18,8,0,0,1,0,12,3,0,2,1,20,3,0,3,1,13.0%,0.51,0.956,1.467,0.569,0.853,1.422,0,2.331,2.331,0.127,0.238,0.365,156,5.1%,118,49,12,23,34.29%
365,Sean Monahan,CGY,27,F,65,8,15,23,24,-15,14:03,11:43,2:15,0:04,3,5,0,2,0,7,8,0,2,0,10,13,0,4,0,56.5%,0.525,0.985,1.51,0.236,0.551,0.788,2.038,3.261,5.299,0.123,0.231,0.354,111,7.2%,59,24,415,364,53.27%
366,Anton Strålman,ARI,35,D,74,8,15,23,12,-16,21:20,18:16,0:08,2:56,8,0,0,1,0,15,0,0,3,0,23,0,0,4,0,0.0%,0.304,0.57,0.874,0.355,0.666,1.021,0,0,0,0.108,0.203,0.311,95,8.4%,99,100,0,0,0.00%
367,Timothy Liljegren,TOR,22,D,61,5,18,23,14,15,16:24,15:02,0:17,1:03,4,1,0,0,0,17,1,0,0,0,21,2,0,0,0,8.7%,0.3,1.079,1.379,0.261,1.111,1.373,3.39,3.39,6.78,0.082,0.295,0.377,79,6.3%,87,60,0,0,0.00%
368,Justin Schultz,WSH,31,D,74,4,19,23,16,-15,16:55,15:26,1:26,0:02,2,2,0,1,0,16,3,0,2,0,18,5,0,3,0,21.7%,0.192,0.91,1.102,0.105,0.84,0.945,1.129,1.694,2.823,0.054,0.257,0.311,92,4.4%,40,87,0,0,0.00%
369,Justin Holl,TOR,29,D,69,3,20,23,41,14,20:12,17:40,0:04,2:27,2,0,1,1,0,18,0,2,1,0,20,0,3,2,0,0.0%,0.129,0.861,0.99,0.098,0.886,0.984,0,0,0,0.043,0.29,0.333,64,4.7%,129,104,0,0,0.00%
370,Alex Chiasson,VAN,31,F,67,13,9,22,24,5,11:36,9:43,1:53,0:00,7,6,0,2,0,5,4,0,2,0,12,10,0,4,0,45.5%,1.003,0.695,1.698,0.645,0.46,1.105,2.837,1.892,4.729,0.194,0.134,0.328,98,13.3%,68,18,10,13,43.48%
371,Luke Kunin,NSH,24,F,82,13,9,22,99,-11,13:49,12:09,0:56,0:43,13,0,0,0,0,7,2,0,1,0,20,2,0,1,0,9.1%,0.688,0.476,1.164,0.783,0.421,1.204,0,1.548,1.548,0.159,0.11,0.268,125,10.4%,223,51,48,61,44.04%
372,Jonathan Dahlen,SJS,24,F,61,12,10,22,12,-25,13:47,11:59,1:47,0:01,9,3,0,2,0,6,4,0,1,1,15,7,0,3,1,31.8%,0.856,0.713,1.569,0.739,0.492,1.231,1.653,2.204,3.857,0.197,0.164,0.361,105,11.4%,16,34,0,1,0.00%
373,Brock McGinn,PIT,27,F,64,12,10,22,14,0,14:59,12:57,0:01,2:00,12,0,0,2,0,10,0,0,2,0,22,0,0,4,0,0.0%,0.75,0.625,1.375,0.868,0.724,1.592,0,0,0,0.188,0.156,0.344,99,12.1%,94,50,16,28,36.36%
374,Adam Boqvist,CBJ,21,D,52,11,11,22,12,-11,17:02,15:04,1:55,0:02,8,3,0,1,0,8,3,0,1,0,16,6,0,2,0,27.3%,0.745,0.745,1.489,0.612,0.612,1.225,1.792,1.792,3.584,0.212,0.212,0.423,64,17.2%,26,47,0,0,0.00%
375,Taylor Raddysh,CHI,23,F,74,11,11,22,10,1,12:20,10:34,1:16,0:28,7,3,1,1,0,10,1,0,2,0,17,4,1,3,0,18.2%,0.723,0.723,1.446,0.536,0.766,1.303,1.902,0.634,2.537,0.149,0.149,0.297,104,10.6%,103,21,6,10,37.50%
376,Derek Ryan,EDM,35,F,75,10,12,22,8,-4,11:25,9:38,0:04,1:43,10,0,0,2,0,11,0,1,2,0,21,0,1,4,0,0.0%,0.7,0.84,1.54,0.83,0.913,1.743,0,0,0,0.133,0.16,0.293,72,13.9%,38,38,286,226,55.86%
377,Nick Cousins,NSH,28,F,68,9,13,22,31,-8,12:28,10:47,1:39,0:01,6,3,0,1,0,12,1,0,4,0,18,4,0,5,0,18.2%,0.637,0.92,1.557,0.49,0.981,1.471,1.6,0.533,2.134,0.132,0.191,0.324,103,8.7%,66,28,23,26,46.94%
378,Filip Chytil,NYR,22,F,67,8,14,22,14,-1,13:10,12:05,1:03,0:01,8,0,0,1,0,13,1,0,2,0,21,1,0,3,0,4.5%,0.544,0.952,1.495,0.592,0.963,1.555,0,0.842,0.842,0.119,0.209,0.328,135,5.9%,24,27,136,175,43.73%
379,Peyton Krebs,BUF,20,F,57,7,15,22,22,-26,14:35,12:22,2:04,0:06,7,0,0,2,0,5,10,0,3,0,12,10,0,5,0,45.5%,0.505,1.082,1.587,0.596,0.425,1.021,0,5.076,5.076,0.123,0.263,0.386,56,12.5%,25,8,61,112,35.26%
380,Morgan Geekie,SEA,23,F,73,7,15,22,18,-16,12:37,11:11,1:21,0:04,7,0,0,0,0,11,4,0,3,0,18,4,0,3,0,18.2%,0.456,0.977,1.433,0.514,0.808,1.322,0,2.416,2.416,0.096,0.205,0.301,97,7.2%,55,23,349,318,52.32%
381,Artyom Zub,OTT,26,D,81,6,16,22,60,1,21:02,18:54,0:15,1:51,6,0,0,0,0,16,0,0,0,0,22,0,0,0,0,0.0%,0.211,0.563,0.775,0.235,0.627,0.862,0,0,0,0.074,0.198,0.272,92,6.5%,155,124,0,0,0.00%
382,P.K. Subban,NJD,32,D,77,5,17,22,82,-8,18:17,16:50,0:35,0:52,5,0,0,1,0,16,0,1,1,0,21,0,1,2,0,0.0%,0.213,0.724,0.937,0.231,0.74,0.972,0,0,0,0.065,0.221,0.286,114,4.4%,69,90,0,0,0.00%
383,Alexander Radulov,DAL,35,F,71,4,18,22,30,-20,14:05,11:59,2:05,0:00,3,1,0,2,0,11,7,0,4,0,14,8,0,6,0,36.4%,0.24,1.08,1.32,0.211,0.775,0.987,0.403,2.818,3.221,0.056,0.254,0.31,92,4.4%,43,48,10,12,45.45%
384,Nikita Zadorov,CGY,26,D,74,4,18,22,77,11,16:54,15:57,0:11,0:46,4,0,0,0,0,18,0,0,3,0,22,0,0,3,0,0.0%,0.192,0.863,1.055,0.203,0.915,1.118,0,0,0,0.054,0.243,0.297,106,3.8%,181,49,0,0,0.00%
385,Jake McCabe,CHI,28,D,75,4,18,22,33,-27,20:18,17:40,0:05,2:32,4,0,0,0,0,18,0,0,1,0,22,0,0,1,0,0.0%,0.158,0.709,0.867,0.181,0.815,0.996,0,0,0,0.053,0.24,0.293,80,5.0%,166,167,0,0,0.00%
386,Joonas Donskoi,SEA,29,F,75,2,20,22,14,-10,14:50,11:42,1:07,1:59,2,0,0,0,0,16,3,1,2,0,18,3,1,2,0,13.6%,0.108,1.078,1.186,0.137,1.094,1.23,0,2.128,2.128,0.027,0.267,0.293,89,2.3%,36,31,5,9,35.71%
387,Adam Lowry,WPG,28,F,79,13,8,21,59,1,15:28,12:15,0:54,2:18,10,0,3,0,0,4,2,2,0,0,14,2,5,0,0,9.5%,0.638,0.392,1.03,0.619,0.248,0.867,0,1.68,1.68,0.165,0.101,0.266,115,11.3%,231,43,564,500,53.01%
388,Brian Boyle,PIT,37,F,66,11,10,21,27,6,10:47,8:49,0:04,1:53,10,0,1,1,0,10,0,0,2,0,20,0,1,3,0,0.0%,0.927,0.843,1.769,1.03,1.03,2.061,0,0,0,0.167,0.152,0.318,87,12.6%,95,39,165,200,45.21%
389,Owen Tippett,PHI,22,F,63,10,11,21,12,-2,13:25,11:43,1:41,0:00,9,1,0,1,0,9,2,0,3,0,18,3,0,4,0,14.3%,0.71,0.78,1.49,0.731,0.731,1.463,0.56,1.121,1.681,0.159,0.175,0.333,126,7.9%,98,16,21,34,38.18%
390,Carson Soucy,SEA,27,D,64,10,11,21,47,7,17:39,15:25,0:42,1:31,9,0,1,1,0,8,2,1,1,0,17,2,2,2,0,9.5%,0.531,0.584,1.115,0.547,0.486,1.034,0,2.625,2.625,0.156,0.172,0.328,97,10.3%,118,73,0,0,0.00%
391,Milan Lucic,CGY,33,F,82,10,11,21,84,-9,12:15,11:07,1:07,0:00,8,2,0,0,0,10,1,0,0,0,18,3,0,0,0,14.3%,0.597,0.657,1.254,0.526,0.658,1.184,1.298,0.649,1.947,0.122,0.134,0.256,95,10.5%,209,22,19,15,55.88%
392,Victor Rask,SEA,28,F,47,9,12,21,2,4,12:11,11:25,0:44,0:01,9,0,0,1,0,11,1,0,1,0,20,1,0,2,0,4.8%,0.942,1.256,2.198,1.006,1.229,2.235,0,1.708,1.708,0.191,0.255,0.447,58,15.5%,15,5,89,87,50.57%
393,Ryan McLeod,EDM,22,F,71,9,12,21,12,-2,12:45,10:51,0:46,1:07,7,2,0,1,0,9,3,0,2,0,16,5,0,3,0,23.8%,0.596,0.795,1.391,0.545,0.7,1.245,2.185,3.278,5.463,0.127,0.169,0.296,82,11.0%,28,25,248,277,47.24%
394,Zachary Sanford,WPG,27,F,80,9,12,21,50,-15,14:17,12:33,1:17,0:26,8,1,0,0,0,10,2,0,4,0,18,3,0,4,0,14.3%,0.472,0.629,1.101,0.478,0.597,1.075,0.58,1.159,1.739,0.113,0.15,0.263,104,8.7%,169,67,5,17,22.73%
395,Mason Appleton,WPG,25,F,68,8,13,21,30,-1,14:53,13:35,0:31,0:46,8,0,0,3,0,13,0,0,3,0,21,0,0,6,0,0.0%,0.474,0.771,1.245,0.519,0.844,1.364,0,0,0,0.118,0.191,0.309,98,8.2%,64,20,7,15,31.82%
396,Johan Larsson,WSH,29,F,43,7,14,21,32,-4,15:54,13:40,0:45,1:28,5,2,0,1,0,13,1,0,2,0,18,3,0,3,0,14.3%,0.614,1.227,1.841,0.51,1.326,1.836,3.685,1.842,5.527,0.163,0.326,0.488,44,15.9%,70,25,195,227,46.21%
397,Jakob Chychrun,ARI,23,D,47,7,14,21,47,-20,22:59,19:21,1:53,1:44,6,1,0,2,1,14,0,0,2,1,20,1,0,4,2,4.8%,0.389,0.778,1.166,0.396,0.923,1.318,0.677,0,0.677,0.149,0.298,0.447,141,5.0%,51,66,0,0,0.00%
398,Alex Galchenyuk,ARI,27,F,60,6,15,21,32,-11,13:09,12:19,0:49,0:00,6,0,0,0,0,14,1,0,2,0,20,1,0,2,0,4.8%,0.456,1.14,1.597,0.487,1.136,1.623,0,1.213,1.213,0.1,0.25,0.35,89,6.7%,67,24,214,195,52.32%
399,Philipp Kurashev,CHI,22,F,67,6,15,21,12,-16,12:51,11:37,1:13,0:00,4,2,0,1,1,12,3,0,1,0,16,5,0,2,1,23.8%,0.418,1.045,1.463,0.308,0.925,1.233,1.466,2.2,3.666,0.09,0.224,0.313,86,7.0%,31,30,51,70,42.15%
400,Jakob Silfverberg,ANA,31,F,53,5,16,21,30,-3,17:02,13:06,1:45,2:10,4,1,0,0,0,12,4,0,1,0,16,5,0,1,0,23.8%,0.332,1.063,1.395,0.345,1.036,1.381,0.644,2.574,3.218,0.094,0.302,0.396,120,4.2%,16,40,8,16,33.33%
401,Ryan Pulock,NYI,27,D,56,5,16,21,2,0,21:08,18:08,1:23,1:36,3,2,0,0,0,11,4,1,2,0,14,6,1,2,0,28.6%,0.253,0.811,1.065,0.177,0.65,0.827,1.534,3.067,4.601,0.089,0.286,0.375,122,4.1%,86,130,0,0,0.00%
402,Brett Kulak,EDM,27,D,74,5,16,21,45,-4,17:45,16:36,0:04,1:04,5,0,0,0,0,15,0,1,3,1,20,0,1,3,1,0.0%,0.228,0.731,0.959,0.244,0.733,0.977,0,0,0,0.068,0.216,0.284,92,5.4%,103,63,0,0,0.00%
403,Nick Jensen,WSH,31,D,76,5,16,21,21,32,19:20,16:45,0:02,2:32,5,0,0,1,0,16,0,0,3,0,21,0,0,4,0,0.0%,0.204,0.653,0.857,0.235,0.753,0.989,0,0,0,0.066,0.211,0.276,88,5.7%,135,92,0,0,0.00%
404,Matt Roy,LAK,26,D,67,2,19,21,28,23,20:59,18:10,0:44,2:03,2,0,0,0,0,15,2,2,4,0,17,2,2,4,0,9.5%,0.085,0.811,0.896,0.099,0.739,0.837,0,2.42,2.42,0.03,0.284,0.313,153,1.3%,124,103,0,0,0.00%
405,Duncan Keith,EDM,38,D,64,1,20,21,22,15,19:43,17:22,0:36,1:44,1,0,0,1,0,18,2,0,4,0,19,2,0,5,0,9.5%,0.048,0.95,0.998,0.054,0.971,1.025,0,3.048,3.048,0.016,0.313,0.328,79,1.3%,22,114,0,0,0.00%
406,Daniel Sprong,SEA,24,F,63,14,6,20,8,0,12:59,11:46,1:12,0:00,12,2,0,0,0,6,0,0,2,0,18,2,0,2,0,10.0%,1.027,0.44,1.467,0.97,0.485,1.455,1.581,0,1.581,0.222,0.095,0.317,153,9.2%,43,12,0,4,0.00%
407,Alexandre Texier,CBJ,22,F,36,11,9,20,12,0,14:36,12:46,0:04,1:45,10,0,1,0,0,8,0,1,0,0,18,0,2,0,0,0.0%,1.255,1.027,2.282,1.305,1.044,2.35,0,0,0,0.306,0.25,0.556,59,18.6%,13,12,20,37,35.09%
408,Colin Blackwell,TOR,28,F,58,10,10,20,14,0,11:56,10:37,0:20,0:57,8,0,2,1,0,10,0,0,1,0,18,0,2,2,0,0.0%,0.867,0.867,1.734,0.778,0.973,1.752,0,0,0,0.172,0.172,0.345,77,13.0%,91,24,83,86,49.11%
409,Brett Howden,VGK,23,F,47,9,11,20,12,9,10:39,10:11,0:02,0:25,9,0,0,2,0,9,0,2,1,0,18,0,2,3,0,0.0%,1.078,1.318,2.396,1.128,1.128,2.256,0,0,0,0.191,0.234,0.426,39,23.1%,62,36,140,151,48.11%
410,William Carrier,VGK,27,F,63,9,11,20,34,7,11:37,11:23,0:03,0:10,9,0,0,0,0,11,0,0,2,0,20,0,0,2,0,0.0%,0.737,0.901,1.639,0.753,0.92,1.673,0,0,0,0.143,0.175,0.317,120,7.5%,159,24,4,4,50.00%
411,Nico Sturm,COL,26,F,74,9,11,20,14,-7,11:54,10:16,0:03,1:34,7,1,1,0,0,11,0,0,1,0,18,1,1,1,0,5.0%,0.613,0.749,1.362,0.552,0.868,1.42,14.694,0,14.694,0.122,0.149,0.27,101,8.9%,99,29,312,277,52.97%
412,Pierre-Edouard Bellemare,TBL,36,F,80,9,11,20,19,24,13:45,11:09,0:01,2:34,8,0,1,1,0,11,0,0,4,1,19,0,1,5,1,0.0%,0.491,0.6,1.09,0.538,0.74,1.278,0,0,0,0.113,0.138,0.25,72,12.5%,88,44,483,452,51.66%
413,Tyson Jost,MIN,23,F,80,8,12,20,34,2,12:49,10:39,0:28,1:40,8,0,0,2,0,11,0,1,3,0,19,0,1,5,0,0.0%,0.468,0.702,1.17,0.563,0.774,1.337,0,0,0,0.1,0.15,0.25,97,8.3%,55,37,172,254,40.38%
414,K'Andre Miller,NYR,21,D,82,7,13,20,24,23,20:35,18:42,0:25,1:28,6,1,0,2,1,13,0,0,2,0,19,1,0,4,1,5.0%,0.249,0.462,0.711,0.235,0.509,0.743,1.754,0,1.754,0.085,0.159,0.244,102,6.9%,151,95,0,0,0.00%
415,Jonathan Drouin,MTL,26,F,34,6,14,20,23,-9,17:05,14:24,2:22,0:18,6,0,0,0,0,10,4,0,0,0,16,4,0,0,0,20.0%,0.619,1.445,2.065,0.735,1.224,1.959,0,2.983,2.983,0.176,0.412,0.588,62,9.7%,27,11,31,35,46.97%
416,Sam Steel,ANA,23,F,68,6,14,20,16,-17,12:18,11:20,0:38,0:19,6,0,0,1,0,11,3,0,0,0,17,3,0,1,0,15.0%,0.43,1.003,1.433,0.467,0.855,1.322,0,4.099,4.099,0.088,0.206,0.294,66,9.1%,37,27,203,209,49.27%
417,Michael Mcleod,NJD,23,F,77,6,14,20,52,-13,13:19,11:06,0:11,2:01,6,0,0,0,0,13,0,1,0,0,19,0,1,0,0,0.0%,0.351,0.819,1.169,0.421,0.912,1.333,0,0,0,0.078,0.182,0.26,78,7.7%,145,34,604,451,57.25%
418,Ty Smith,NJD,21,D,66,5,15,20,22,-26,17:29,16:04,1:20,0:05,5,0,0,0,0,11,4,0,2,0,16,4,0,2,0,20.0%,0.26,0.779,1.039,0.283,0.622,0.905,0,2.719,2.719,0.076,0.227,0.303,77,6.5%,45,73,0,0,0.00%
419,Jon Merrill,MIN,29,D,69,4,16,20,22,15,17:06,15:07,0:01,1:56,4,0,0,0,0,16,0,0,2,0,20,0,0,2,0,0.0%,0.203,0.814,1.017,0.23,0.92,1.149,0,0,0,0.058,0.232,0.29,59,6.8%,46,112,0,0,0.00%
420,Brenden Dillon,WPG,31,D,79,3,17,20,67,16,18:49,17:02,0:02,1:44,3,0,0,0,0,17,0,0,2,0,20,0,0,2,0,0.0%,0.121,0.686,0.807,0.134,0.758,0.891,0,0,0,0.038,0.215,0.253,85,3.5%,212,108,0,0,0.00%
421,Jakub Vrana,DET,25,F,26,13,6,19,16,-8,14:56,12:35,2:20,0:00,8,5,0,3,0,5,1,0,1,0,13,6,0,4,0,31.6%,2.009,0.927,2.936,1.467,0.917,2.384,4.918,0.984,5.902,0.5,0.231,0.731,65,20.0%,14,9,1,2,33.33%
422,Sam Carrick,ANA,29,F,64,11,8,19,85,-12,11:27,10:28,0:09,0:50,11,0,0,0,0,8,0,0,1,0,19,0,0,1,0,0.0%,0.9,0.654,1.554,0.984,0.716,1.7,0,0,0,0.172,0.125,0.297,80,13.8%,122,21,204,209,49.39%
423,Derek Stepan,CAR,31,F,58,9,10,19,14,0,10:47,9:47,0:01,0:58,9,0,0,0,0,10,0,0,0,0,19,0,0,0,0,0.0%,0.862,0.958,1.821,0.951,1.057,2.008,0,0,0,0.155,0.172,0.328,96,9.4%,29,25,248,196,55.86%
424,Derick Brassard,EDM,34,F,46,8,11,19,16,4,12:54,11:21,1:32,0:01,7,1,0,1,0,10,1,0,1,0,17,2,0,2,0,10.5%,0.808,1.112,1.92,0.804,1.149,1.953,0.85,0.85,1.701,0.174,0.239,0.413,62,12.9%,82,6,169,161,51.21%
425,Zach Whitecloud,VGK,25,D,59,8,11,19,20,21,18:47,17:02,0:04,1:41,7,0,1,1,0,11,0,0,0,0,18,0,1,1,0,0.0%,0.433,0.595,1.028,0.418,0.656,1.074,0,0,0,0.136,0.186,0.322,94,8.5%,98,115,0,0,0.00%
426,Evgeny Svechnikov,WPG,25,F,72,7,12,19,38,-4,10:45,10:44,0:01,0:00,7,0,0,1,0,12,0,0,2,0,19,0,0,3,0,0.0%,0.542,0.93,1.472,0.543,0.932,1.475,0,0,0,0.097,0.167,0.264,78,9.0%,104,22,3,4,42.86%
427,Casey Mittelstadt,BUF,23,F,40,6,13,19,4,-14,16:07,13:04,2:31,0:31,5,1,0,1,1,7,6,0,2,0,12,7,0,3,1,36.8%,0.558,1.21,1.768,0.574,0.803,1.377,0.596,3.576,4.171,0.15,0.325,0.475,79,7.6%,19,12,202,250,44.69%
428,Kieffer Bellows,NYI,23,F,45,6,13,19,19,-1,11:51,11:22,0:28,0:00,6,0,0,2,0,9,4,0,1,0,15,4,0,3,0,21.1%,0.674,1.461,2.135,0.703,1.054,1.757,0,11.285,11.285,0.133,0.289,0.422,79,7.6%,103,14,0,1,0.00%
429,Zack Kassian,EDM,30,F,58,6,13,19,63,2,11:47,11:27,0:17,0:02,4,2,0,1,0,13,0,0,1,0,17,2,0,2,0,10.5%,0.527,1.141,1.668,0.361,1.174,1.536,6.95,0,6.95,0.103,0.224,0.328,58,10.3%,154,6,3,4,42.86%
430,Adam Erne,DET,26,F,79,6,13,19,34,-22,13:23,12:24,0:54,0:04,6,0,0,1,0,13,0,0,1,0,19,0,0,2,0,0.0%,0.34,0.738,1.078,0.367,0.796,1.163,0,0,0,0.076,0.165,0.241,108,5.6%,161,43,34,31,52.31%
431,Nick Holden,OTT,34,D,76,5,14,19,12,0,19:50,16:34,0:04,3:11,5,0,0,1,0,14,0,0,2,0,19,0,0,3,0,0.0%,0.199,0.557,0.756,0.238,0.667,0.905,0,0,0,0.066,0.184,0.25,75,6.7%,115,112,0,1,0.00%
432,Radek Faksa,DAL,27,F,77,5,14,19,52,-20,15:46,13:49,0:05,1:51,3,1,1,1,0,13,0,1,0,0,16,1,2,1,0,5.3%,0.247,0.692,0.939,0.169,0.733,0.902,7.982,0,7.982,0.065,0.182,0.247,89,5.6%,129,68,383,312,55.11%
433,Alexander Edler,LAK,35,D,41,3,16,19,34,18,18:27,16:14,0:20,1:52,3,0,0,1,0,15,0,1,2,0,18,0,1,3,0,0.0%,0.238,1.268,1.506,0.27,1.351,1.621,0,0,0,0.073,0.39,0.463,54,5.6%,56,70,0,0,0.00%
434,Henri Jokiharju,BUF,22,D,60,3,16,19,20,-8,21:52,18:45,1:06,2:02,3,0,0,0,0,12,4,0,3,1,15,4,0,3,1,21.1%,0.137,0.732,0.869,0.16,0.64,0.799,0,3.593,3.593,0.05,0.267,0.317,83,3.6%,73,60,0,0,0.00%
435,Loui Eriksson,ARI,36,F,73,3,16,19,6,-18,12:55,11:25,0:12,1:17,2,0,1,0,0,15,1,0,4,0,17,1,1,4,0,5.3%,0.191,1.018,1.209,0.144,1.079,1.223,0,4.063,4.063,0.041,0.219,0.26,81,3.7%,17,23,20,16,55.56%
436,Marcus Pettersson,PIT,25,D,72,2,17,19,38,8,15:39,15:04,0:16,0:18,2,0,0,0,0,17,0,0,1,0,19,0,0,1,0,0.0%,0.106,0.905,1.011,0.111,0.94,1.05,0,0,0,0.028,0.236,0.264,83,2.4%,122,74,0,0,0.00%
437,Ian Cole,CAR,32,D,75,2,17,19,83,15,17:09,14:37,0:01,2:29,2,0,0,1,0,16,0,1,3,0,18,0,1,4,0,0.0%,0.093,0.793,0.886,0.109,0.875,0.985,0,0,0,0.027,0.227,0.253,77,2.6%,110,104,0,0,0.00%
438,Keith Yandle,PHI,35,D,77,1,18,19,14,-47,13:58,11:48,2:08,0:01,0,1,0,0,0,8,10,0,4,0,8,11,0,4,0,57.9%,0.056,1.003,1.059,0,0.528,0.528,0.364,3.639,4.003,0.013,0.234,0.247,105,1.0%,29,40,0,0,0.00%
439,Nathan Bastian,NJD,24,F,72,12,6,18,65,-12,11:54,10:03,1:36,0:13,9,3,0,1,0,5,1,0,1,0,14,4,0,2,0,22.2%,0.84,0.42,1.26,0.745,0.414,1.16,1.55,0.517,2.066,0.167,0.083,0.25,97,12.4%,210,40,23,25,47.92%
440,Mike Amadio,VGK,25,F,56,11,7,18,15,1,12:09,11:55,0:03,0:10,11,0,0,2,0,7,0,0,0,0,18,0,0,2,0,0.0%,0.969,0.617,1.586,0.988,0.629,1.617,0,0,0,0.196,0.125,0.321,64,17.2%,42,16,30,42,41.67%
441,Zemgus Girgensons,BUF,27,F,56,10,8,18,27,-7,14:47,12:20,0:59,1:27,7,3,0,1,0,7,1,0,2,0,14,4,0,3,0,22.2%,0.724,0.58,1.304,0.608,0.608,1.216,3.221,1.074,4.295,0.179,0.143,0.321,92,10.9%,81,25,143,144,49.83%
442,Nils Höglander,VAN,21,F,60,10,8,18,24,-7,13:06,12:05,0:59,0:00,9,1,0,0,0,6,2,0,0,0,15,3,0,0,0,16.7%,0.763,0.61,1.373,0.745,0.497,1.241,1.012,2.024,3.035,0.167,0.133,0.3,132,7.6%,41,16,0,1,0.00%
443,Ryan Lomberg,FLA,27,F,55,9,9,18,92,4,11:24,10:11,0:00,1:13,9,0,0,1,0,8,0,1,3,0,17,0,1,4,0,0.0%,0.86,0.86,1.72,0.964,0.857,1.82,0,0,0,0.164,0.164,0.327,91,9.9%,117,7,1,6,14.29%
444,Connor McMichael,WSH,20,F,68,9,9,18,10,-3,10:28,10:22,0:05,0:00,9,0,0,0,0,9,0,0,1,0,18,0,0,1,0,0.0%,0.759,0.759,1.517,0.766,0.766,1.532,0,0,0,0.132,0.132,0.265,105,8.6%,46,22,148,197,42.90%
445,Trent Frederic,BOS,23,F,60,8,10,18,57,10,11:39,11:03,0:04,0:32,8,0,0,1,0,10,0,0,2,0,18,0,0,3,0,0.0%,0.686,0.858,1.544,0.724,0.905,1.629,0,0,0,0.133,0.167,0.3,100,8.0%,119,22,35,54,39.33%
446,Kaapo Kakko,NYR,20,F,43,7,11,18,10,9,15:26,13:45,1:13,0:26,6,1,0,2,0,10,1,0,2,0,16,2,0,4,0,11.1%,0.632,0.994,1.626,0.608,1.014,1.622,1.132,1.132,2.265,0.163,0.256,0.419,62,11.3%,8,15,1,6,14.29%
447,Justin Braun,NYR,34,D,69,6,12,18,36,2,19:32,17:19,0:03,2:10,6,0,0,0,0,12,0,0,2,0,18,0,0,2,0,0.0%,0.267,0.534,0.801,0.301,0.602,0.904,0,0,0,0.087,0.174,0.261,73,8.2%,87,121,0,0,0.00%
448,Chris Tierney,OTT,27,F,70,6,12,18,14,-12,12:24,10:50,1:21,0:12,3,3,0,2,0,10,2,0,1,0,13,5,0,3,0,27.8%,0.414,0.828,1.243,0.237,0.79,1.027,1.889,1.26,3.149,0.086,0.171,0.257,72,8.3%,42,30,264,267,49.72%
449,Erik Gustafsson,CHI,29,D,59,3,15,18,14,-4,16:13,14:12,1:55,0:04,3,0,0,0,0,11,4,0,3,1,14,4,0,3,1,22.2%,0.188,0.941,1.129,0.215,0.787,1.002,0,2.11,2.11,0.051,0.254,0.305,79,3.8%,45,55,0,0,0.00%
450,Scott Mayfield,NYI,29,D,61,3,15,18,55,-5,19:46,17:24,0:03,2:18,3,0,0,2,0,14,0,1,3,0,17,0,1,5,0,0.0%,0.149,0.746,0.895,0.169,0.791,0.96,0,0,0,0.049,0.246,0.295,80,3.8%,77,109,0,0,0.00%
451,Brayden McNabb,VGK,30,D,69,3,15,18,42,10,19:42,17:02,0:01,2:37,3,0,0,0,0,14,0,1,1,0,17,0,1,1,0,0.0%,0.132,0.662,0.795,0.153,0.714,0.867,0,0,0,0.043,0.217,0.261,85,3.5%,154,179,0,0,0.00%
452,Brian Dumoulin,PIT,30,D,76,3,15,18,24,24,21:49,19:22,0:04,2:22,3,0,0,0,0,15,0,0,5,0,18,0,0,5,0,0.0%,0.109,0.543,0.651,0.122,0.611,0.734,0,0,0,0.039,0.197,0.237,91,3.3%,88,139,0,0,0.00%
453,Jan Rutta,TBL,31,D,76,3,15,18,47,25,16:23,15:11,0:01,1:10,3,0,0,0,0,15,0,0,1,0,18,0,0,1,0,0.0%,0.145,0.723,0.867,0.156,0.78,0.936,0,0,0,0.039,0.197,0.237,86,3.5%,93,71,0,0,0.00%
454,Tyler Myers,VAN,31,D,82,1,17,18,66,15,21:58,19:09,0:21,2:28,1,0,0,0,0,16,1,0,3,0,17,1,0,3,0,5.6%,0.033,0.566,0.599,0.038,0.611,0.649,0,2.08,2.08,0.012,0.207,0.22,128,0.8%,145,148,0,0,0.00%
